night,total_epochs,rem_epochs,rem_percentage,roc_auc,conf_90_tp,conf_90_fp,conf_90_tn,conf_90_fn,conf_90_precision,conf_90_recall,conf_90_accuracy,conf_90_f1,conf_90_detections,conf_95_tp,conf_95_fp,conf_95_tn,conf_95_fn,conf_95_precision,conf_95_recall,conf_95_accuracy,conf_95_f1,conf_95_detections
1,746,29,3.8873994638069704,0.8081565911604867,0,0,717,29,0.0,0.0,0.9611260053619303,0,0,0,0,717,29,0.0,0.0,0.9611260053619303,0,0
2,508,104,20.47244094488189,0.7190118050266565,0,0,404,104,0.0,0.0,0.7952755905511811,0,0,0,0,404,104,0.0,0.0,0.7952755905511811,0,0
3,803,27,3.3623910336239105,0.8572451317296678,0,0,776,27,0.0,0.0,0.9663760896637609,0,0,0,0,776,27,0.0,0.0,0.9663760896637609,0,0
4,828,30,3.6231884057971016,0.8365079365079365,0,0,798,30,0.0,0.0,0.9637681159420289,0,0,0,0,798,30,0.0,0.0,0.9637681159420289,0,0
5,660,92,13.939393939393941,0.6536474280465401,0,0,568,92,0.0,0.0,0.8606060606060606,0,0,0,0,568,92,0.0,0.0,0.8606060606060606,0,0
6,499,54,10.821643286573146,0.6756970453599667,0,0,445,54,0.0,0.0,0.8917835671342685,0,0,0,0,445,54,0.0,0.0,0.8917835671342685,0,0
7,750,136,18.133333333333333,0.9375,0,0,614,136,0.0,0.0,0.8186666666666667,0,0,0,0,614,136,0.0,0.0,0.8186666666666667,0,0
8,725,113,15.586206896551724,0.5536034472786164,0,0,612,113,0.0,0.0,0.8441379310344828,0,0,0,0,612,113,0.0,0.0,0.8441379310344828,0,0
9,1046,203,19.407265774378583,0.9754804854817125,0,0,843,203,0.0,0.0,0.8059273422562141,0,0,0,0,843,203,0.0,0.0,0.8059273422562141,0,0
10,1099,205,18.653321201091902,0.8980247721940308,0,0,894,205,0.0,0.0,0.813466787989081,0,0,0,0,894,205,0.0,0.0,0.813466787989081,0,0
11,774,86,11.11111111111111,0.9044922931314224,0,0,688,86,0.0,0.0,0.8888888888888888,0,0,0,0,688,86,0.0,0.0,0.8888888888888888,0,0
12,809,145,17.92336217552534,0.7389385126713752,0,1,663,145,0.0,0.0,0.8195302843016069,0,1,0,1,663,145,0.0,0.0,0.8195302843016069,0,1
13,899,107,11.902113459399333,0.6958014726706315,0,0,792,107,0.0,0.0,0.8809788654060067,0,0,0,0,792,107,0.0,0.0,0.8809788654060067,0,0
14,900,4,0.4444444444444444,0.6749441964285714,0,0,896,4,0.0,0.0,0.9955555555555555,0,0,0,0,896,4,0.0,0.0,0.9955555555555555,0,0
15,948,118,12.447257383966246,0.9008678782928323,0,0,830,118,0.0,0.0,0.8755274261603375,0,0,0,0,830,118,0.0,0.0,0.8755274261603375,0,0
16,1064,131,12.31203007518797,0.9204241427554551,0,0,933,131,0.0,0.0,0.8768796992481203,0,0,0,0,933,131,0.0,0.0,0.8768796992481203,0,0
17,742,133,17.92452830188679,0.9399977776954702,0,0,609,133,0.0,0.0,0.8207547169811321,0,0,0,0,609,133,0.0,0.0,0.8207547169811321,0,0
18,636,128,20.125786163522015,0.8497785433070866,0,0,508,128,0.0,0.0,0.7987421383647799,0,0,0,0,508,128,0.0,0.0,0.7987421383647799,0,0
19,975,239,24.512820512820515,0.9403310896852829,0,0,736,239,0.0,0.0,0.7548717948717949,0,0,0,0,736,239,0.0,0.0,0.7548717948717949,0,0
20,895,205,22.905027932960895,0.9525698126546482,0,0,690,205,0.0,0.0,0.770949720670391,0,0,0,0,690,205,0.0,0.0,0.770949720670391,0,0
